# Column descriptions:
# id	Object ID, according to EcoCyc
# protein-count-avg	A floating point number
# protein-count-std	A floating point number
# protein-concentration-avg	A floating point number in mM units
# protein-concentration-std	A floating point number in mM units
# relative-protein-count-to-protein-rna-counts	A floating point number
# relative-protein-mass-to-total-protein-mass	A floating point number
# relative-protein-mass-to-total-cell-dry-mass	A floating point number
# validation-count	A floating point number
id	protein-count-avg	protein-count-std	protein-concentration-avg	protein-concentration-std	relative-protein-count-to-protein-rna-counts	relative-protein-mass-to-total-protein-mass	relative-protein-mass-to-total-cell-dry-mass	validation-count
ALAS-MONOMER	1403.7070677873292	394.5671059760824	0.0016088122208649022	0.00026776632949413424	594.4504267558367	0.0010699950330763295	0.00046885344204706625	7596.0
LACTALDDEHYDROG-MONOMER	827.9055647044215	310.10713240452554	0.0009566388662675079	0.0003057848034487274	917.3250422897354	0.0003435038058333005	0.00015051746666353092	NaN
ALDHDEHYDROG-MONOMER	124.28276441862405	89.43290616883893	0.00014369331572890284	0.00009901196570096328	589.5993162921402	0.0000527004251333328	0.00002309242095270939	282.0
EG10037-MONOMER	32.677411212461095	43.15091066492265	0.00003749681275524629	0.00004749484767208234	575.0056236120066	6.246463901502797e-6	2.7370931736216876e-6	1.0
AMP-NUCLEOSID-MONOMER	1568.5700417500411	513.9323284085062	0.001810367116018292	0.0004760273305510468	1035.2740139940563	0.0006723077636896979	0.00029459371247230295	NaN
EG10040-MONOMER	95.45867641580679	81.51699406942143	0.00010943443224397035	0.00008889191318966123	1091.7433300740327	0.000031497751458070594	0.000013801773588986295	995.0
EG10041-MONOMER	163.45876394636616	75.42751071141632	0.000188620068573015	0.00007870725931028492	632.9583573089504	0.000026640949881471225	0.00001167360657312521	73308.0
EG10042-MONOMER	63.45742045405969	31.045799100953644	0.00007338850799751888	0.00003320967628621523	245.72499901470064	0.00001618823923701498	7.093408335863191e-6	1533.0
EG10043-MONOMER	328.6833388633648	134.2715244301134	0.0003784255542871508	0.00013264652191995841	872.1917743843483	0.00007089910842479751	0.00003106677133580971	86.0
EG10044-MONOMER	692.2341951361508	293.7542072050633	0.0007984041268425838	0.0002936045752767586	884.8736147214872	0.00006607096308277383	0.000028951160989654172	150.0
ANSA-MONOMER	545.8595663776802	189.46913185350468	0.0006289940654412008	0.00017845074573458848	819.6018491350327	0.00016085563756801038	0.00007048417704295739	28.0
ANSB-MONOMER	20.895582149465554	41.026215732909094	0.000023202838237627146	0.000042849689225778896	744.7113319791061	6.113203896729235e-6	2.678700928803822e-6	253.0
EG10047-MONOMER	42.79666651060443	29.216464130797625	0.00004980245085048945	0.00003282769958678508	38.25322185933534	4.709640134417923e-6	2.0636833999839057e-6	3061.0
EG10048-MONOMER	751.9071137917628	495.5979182435998	0.0008734806947396456	0.0005506119140917624	672.0820098070432	0.00018677360191856273	0.00008184098377660394	5283.0
APPA-MONOMER	44.13253348043896	60.96117343447542	0.00005041339554692054	0.00006766873073359338	592.1669398011582	0.000016487170971571153	7.224395086596794e-6	3.0
PD00967	0.1587539719535803	0.8596531668925674	1.870779438794385e-7	1.036864815657189e-6	361.06018518518516	3.6263108617959696e-8	1.588987123236877e-8	NaN
ADENPRIBOSYLTRAN-MONOMER	2384.251892593897	652.9645984351423	0.0027398600403710956	0.0004729986271045204	1424.3504790071092	0.0003758470365980618	0.00016468971476021822	834.0
ARABISOM-MONOMER	10.763771305039928	36.193541129100346	0.000012687364348705505	0.000042075234331235256	710.2455339153795	4.791155819016157e-6	2.09940217261673e-6	551.0
RIBULOKIN-MONOMER	11.717200976271076	36.7771288934066	0.00001375250362647463	0.00004204237897963468	773.1574210879786	5.681468395508631e-6	2.4895218489540603e-6	NaN
PD00242	65.79998860067134	43.503888298629036	0.00007570697372682993	0.00004616197430211691	313.99060690834204	0.00001743878010005826	7.641373859004573e-6	26.0
RIBULPEPIM-MONOMER	11.469568881461232	35.76957379188341	0.000013517171062632002	0.00004115383389651437	756.8174613834789	2.3230811189281365e-6	1.0179342380987561e-6	135.0
ARAE-MONOMER	8.329536271238883	10.950349375792099	9.619347563013484e-6	0.000012179928882118341	78.11287582323185	3.4186711659742284e-6	1.4980029755705724e-6	NaN
ARAF-MONOMER	57.7937128631246	62.01436215782476	0.00006629361031364338	0.00006806978920357353	611.5576952073236	0.000016307101976263427	7.1454919462586075e-6	NaN
ARAG-MONOMER	52.51342169170108	58.811021198632716	0.00006009785642772593	0.00006444567054453821	555.6830586968227	0.000022935360553659404	0.000010049880988005127	NaN
ARAH-MONOMER	51.21654653267027	57.87957883237937	0.00005861264544955499	0.00006356063835455045	541.9598707592892	0.000013914560957258711	6.0971215731980675e-6	NaN
ARAJ-MONOMER	12.61049918881563	12.950824165406056	0.000014537848617512992	0.000014442913398950232	151.7823349258851	4.19891093793841e-6	1.839890639904551e-6	1283.0
ARCA-MONOMER	3016.1030519666897	751.8990065869525	0.0034662782119859155	0.0004657353809324558	862.3081865872382	0.0006533013811054702	0.0002862654421345818	2728.0
ARCB-MONOMER	1.270988504998402	1.1530013307899518	1.4685897130079757e-6	1.361193052423976e-6	5.0221353538278395	8.874992051153861e-7	3.888869053308031e-7	2544.0
N-ACETYLTRANSFER-MONOMER	431.04801356520113	129.49706495197412	0.0004943711719475845	0.00010110928157364635	587.6722495275152	0.00016833647501986892	0.00007376215150103908	172.0
ACETYLGLUTKIN-MONOMER	291.10610535829517	94.5417898724206	0.0003353453351109948	0.00008508553784626248	421.8447815082919	0.00006275804723077106	0.000027499498175895127	15.0
N-ACETYLGLUTPREDUCT-MONOMER	163.4057163562046	53.39457397567752	0.0001878851915141588	0.00004667191343972846	236.79286502303793	0.000046629701284369975	0.000020432334051071974	28.0
ACETYLORNTRANSAM-MONOMER	382.03113034521647	125.31867930922166	0.00043858698114109646	0.00010404027807391439	611.7810697951879	0.0001327173222270643	0.00005815445064873476	NaN
CHAINF-MONOMER	857.9409189080258	342.53018942269364	0.0009810828228774995	0.0003090241441587804	940.1211695374225	0.00025079034479809435	0.00010989202076265068	589.0
ARGSUCCINSYN-MONOMER	4676.742049477158	1144.6861238552356	0.005381389061510877	0.0007230405105649352	1322.6733400537364	0.001852212272594093	0.0008116075986921053	116.0
CHAINI-MONOMER	373.17955978235426	127.14184717981955	0.0004292214925570529	0.00011568974060846507	616.0908406566632	0.00010932049458801783	0.00004790236271145707	1240.0
PD00194	699.9244224509778	213.36124751133232	0.0008047763273370212	0.0001824390652213858	664.1956023280655	0.00009441121288418653	0.000041369371595420744	NaN
ARGS-MONOMER	563.1475195264393	191.06338871637266	0.0006479622569576968	0.00016940037938502887	844.1713943085214	0.00028911844871390706	0.00012668673745997995	109.0
ARGT-MONOMER	986.348459156816	348.2168130922907	0.0011391302026490383	0.0003353208929280863	550.3842462283588	0.00021918974225757442	0.00009604517959621406	23.0
