p_expressed	max_monomer_counts	max_mRNA_counts	cistron_idx	gene_name	cistron_name	protein_name
0.5	174	1	4206	G7853	G7853_RNA	G7853-MONOMER
0.25	42	1	4212	G7860	G7860_RNA	G7860-MONOMER
0.5	238	1	4213	G7861	G7861_RNA	G7861-MONOMER
0.25	170	1	4216	G7865	G7865_RNA	G7865-MONOMER
0.5	76	1	4217	G7866	G7866_RNA	G7866-MONOMER
0.5	118	1	4221	G7870	G7870_RNA	G7870-MONOMER
0.75	254	1	4222	G7871	G7871_RNA	G7871-MONOMER
0.75	87	2	4223	G7872	G7872_RNA	G7872-MONOMER
0.5	123	1	4228	G7877	G7877_RNA	G7877-MONOMER
0.5	135	1	4232	G7883	G7883_RNA	G7883-MONOMER
0.25	60	1	4238	G7889	G7889_RNA	G7889-MONOMER
0.5	1643	1	4242	G7893	G7893_RNA	IDONDEHYD-MONOMER
0.5	194	1	4243	G7894	G7894_RNA	MONOMER0-4254
0.5	596	1	4245	G7899	G7899_RNA	G7899-MONOMER
0.75	167	1	4246	G7900	G7900_RNA	G7900-MONOMER
0.25	397	1	4247	G7901	G7901_RNA	G7901-MONOMER
0.25	60	1	4250	G7909	G7909_RNA	G7909-MONOMER
0.25	103	1	4251	G7910	G7910_RNA	G7910-MONOMER
0.25	108	1	4252	G7911	G7911_RNA	G7911-MONOMER
0.25	40	1	4253	G7912	G7912_RNA	G7912-MONOMER
0.25	33	1	4254	G7913	G7913_RNA	G7913-MONOMER
0.25	42	1	4255	G7914	G7914_RNA	G7914-MONOMER
0.25	29	1	4256	G7915	G7915_RNA	G7915-MONOMER
0.75	56	1	4263	G7923	G7923_RNA	G7923-MONOMER
0.25	688	1	4264	G7924	G7924_RNA	G7924-MONOMER
0.25	15	1	4265	G7925	G7925_RNA	G7925-MONOMER
0.25	476	1	4266	G7926	G7926_RNA	G7926-MONOMER
0.75	166	1	4267	G7927	G7927_RNA	G7927-MONOMER
0.25	33	1	4270	G7930	G7930_RNA	G7930-MONOMER
0.25	48	1	4271	G7931	G7931_RNA	G7931-MONOMER
0.75	24	1	4273	G7933	G7933_RNA	G7933-MONOMER
0.75	416	2	4275	G7937	G7937_RNA	G7937-MONOMER
0.75	325	2	4277	G7940	G7940_RNA	G7940-MONOMER
0.25	23	1	4280	G7944	G7944_RNA	G7944-MONOMER
0.25	39	1	4282	G7946	G7946_RNA	G7946-MONOMER
0.25	35	1	4283	G7947	G7947_RNA	G7947-MONOMER
0.25	9	1	4290	G7954	G7954_RNA	G7954-MONOMER
0.75	1124	4	4292	G7990	G7990_RNA	FRUB-MONOMER
0.5	148	1	4295	G8202	G8202_RNA	G8202-MONOMER
0.5	19	1	4297	G85	G85_RNA	XANTHOSINEPHOSPHORY-MONOMER
0.25	134	1	4301	M009	M009_RNA	PHENYLPRODIOXY-MONOMER
0.25	19	1	4302	M010	M010_RNA	MHPHYDROXY-MONOMER
0.25	916	1	4303	M011	M011_RNA	DHPDIOXYGEN-MONOMER
0.25	99	1	4304	M012	M012_RNA	MHPCHYDROL-MONOMER
0.25	81	1	4305	M013	M013_RNA	MHPDHYDROL-MONOMER
