name	reactions	genes	compounds
lipid IV<sub>A</sub> biosynthesis (<i>E. coli</i>)	UDPACYLGLCNACDEACETYL-RXN	EG10265	UDPACYLGLCNACDEACETYL-MONOMER
lipid IV<sub>A</sub> biosynthesis (<i>E. coli</i>)	UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN	EG10316	UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-MONO // CPLX0-8016
lipid IV<sub>A</sub> biosynthesis (<i>E. coli</i>)	LIPIDXSYNTHESIS-RXN	EG12666	EG12666-MONOMER
lipid IV<sub>A</sub> biosynthesis (<i>E. coli</i>)	TETRAACYLDISACC4KIN-RXN	EG11409	TETRAACYLDISACC4KIN-MONOMER
lipid IV<sub>A</sub> biosynthesis (<i>E. coli</i>)	LIPIDADISACCHARIDESYNTH-RXN	EG10546	LIPIDADISACCHARIDESYNTH-MONOMER // CPLX0-7415
D-galactose degradation I (Leloir pathway)	GALACTOKIN-RXN	EG10363	GALACTOKIN-MONOMER
D-galactose degradation I (Leloir pathway)	GALACTURIDYLYLTRANS-RXN	EG10366	GALACTURIDYLYLTRANS-MONOMER // GALACTURIDYLYLTRANS-CPLX
D-galactose degradation I (Leloir pathway)	UDPGLUCEPIM-RXN	EG10362	UDPGLUCEPIM-MONOMER // UDPGLUCEPIM-CPLX
D-galactose degradation I (Leloir pathway)	ALDOSE1EPIM-RXN	EG11698	ALDOSE1EPIM-MONOMER
D-galactose degradation I (Leloir pathway)	PHOSPHOGLUCMUT-RXN	EG12144	PHOSPHOGLUCMUT-MONOMER
thiosulfate disproportionation IV (rhodanese)	THIOSULFATE-SULFURTRANSFERASE-RXN	EG10395 // EG10780 // EG11600 // G7398	EG10395-MONOMER // CPLX0-242 // EG10780-MONOMER // EG11600-MONOMER // G7398-MONOMER // CPLX0-8219
